id,monthly_revenue
4465400,4281.8105
608629349064811166,1124.6096
981894508939312892,1952.2448
52014961,1790.5157
836285112356489303,1608.5613
729730483477613494,1540.2606
944215862491317970,1301.9277
903006033557171147,988.1086
564880673945279487,3905.0928
764443008812380227,1825.9447
1011226885622723129,1630.3242
13111653,1576.4478
4075378,1370.2805
840731158280306977,2297.8633
628492950660821905,1419.439
18829637,1824.4327
9074376,3319.7307
1023654063534177793,2011.5583
32186644,1305.7832
51517972,1836.5548
930044757866918155,2662.6233
47730733,1430.5492
644832400238584702,1414.2483
563811005512806585,1386.0312
946658103976441380,1182.1901
641935676868138681,1641.1344
36575124,1245.9767
10992078,2450.4678
792767566503426938,2729.8926
28374232,1243.0531
903719953366256795,1761.3923
40448057,3237.4656
21100013,1103.1685
38131507,1592.8955
3742414,1985.0273
41269818,1247.7302
51659675,1521.7596
711026764081424364,1418.367
34312548,2457.5854
12156919,2359.6458
22943194,1570.541
641286360676071042,2000.5413
841410712756779955,868.4655
46585029,1260.0859
11242550,1344.8552
28364428,1140.9362
633435043601003244,1530.809
19434101,1124.9213
919835952050197567,3610.8716
46101575,1345.6534
943608459019031145,1666.9889
51657992,1328.7507
932459421467233660,1155.5028
52799181,1583.0884
29998069,1915.2527
36324641,1741.0586
35939545,1270.321
717551955250963710,1587.4022
29214094,2212.331
996726509410904870,1661.7212
53514361,1630.7524
17703644,1604.8628
48258797,2086.491
1016326008395573822,606.0531
54267773,1541.3616
34180296,1638.5365
17497419,3034.8918
1010953851934743611,686.89014
979911523694843918,1488.6676
1037980108699410965,1650.3463
53741351,4551.178
923533539114172105,2387.1838
53223007,2065.4734
969545323180749749,1403.4963
30204180,4341.3013
38880792,1436.2717
811650296544480046,1173.9087
39205913,1565.9541
917042757640231846,1571.1088
591501265133490901,1588.9591
706517007757035755,1363.1704
4256725,1411.1255
1030539740098574302,1378.2015
853117164964826858,2322.1345
39894314,1573.7736
30464949,1376.2334
792883005062628538,1629.6201
47920470,1842.2433
22102093,885.50195
16243231,1124.9137
908213423748310861,1559.602
914167814583406410,1136.9658
656093243302306911,2102.8745
1031887036489081599,4589.7314
883766409415372796,1383.4624
944225705256990863,3106.557
45237387,1351.4282
824951093312674964,1388.8303
685477917083219830,1855.2997
941442136067315095,3231.6436
787674726735576470,818.05756
654546537869049186,4357.1816
611121379258353622,1696.1979
924773797588718230,1917.5737
959579294765184094,1708.8748
34655839,1417.0916
11393844,3181.8196
908270876253804815,3528.8508
983323697917070885,1728.1127
969146111815050827,1106.3375
42591398,1371.5548
38324966,2173.1248
619599861618191200,2504.5168
806270279530380112,2271.4983
688544334661194671,1964.8052
13617271,2919.9268
29736759,1400.2938
44269319,1504.3932
25314294,1123.9613
12245225,1438.6146
46215685,1719.6815
36841352,1563.3909
634854307981905605,1506.6577
994904719094409277,2858.4246
686907478188369765,1363.1757
956226912381732798,2458.6433
22326190,2504.305
955171759960993588,882.19086
800970191867596004,5130.8066
905407437025820797,855.7184
732724971469976884,1248.9691
713271,1210.4479
702366281800944724,3925.0674
939503106846943236,1177.6344
927692108400643914,1700.0277
985167961387919079,1524.0763
196722,2571.5776
1026860427303774188,1498.0045
624723728831681250,1807.1614
13996470,1400.0206
645380488250317455,2235.967
704265965203455871,1785.7223
857547425681870506,3503.2456
916904518849278671,1718.9672
49924638,1964.2991
713925697989494857,2440.9172
50704191,1776.249
26047,1167.6079
1291394,2560.4763
41723288,1277.3911
22692270,1690.2561
906613439128557258,1699.669
917662077646663730,2306.0627
53612566,1371.1245
757429830415010252,2508.1775
7804061,1571.6088
18812413,2524.115
655709011871500958,3352.3047
498112,3395.9043
816757366853117057,2643.6409
916108130169742809,2330.376
1021818741561711720,992.2172
750296793958003198,1578.8107
1015935,1510.3623
23172118,1102.0195
896692070449107148,3153.4688
3130486,1261.6715
640593750402489550,1868.2728
31039997,1983.8345
