,id,name,neighborhood_overview,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,monthly_revenue
879,19792418,Home in Vancouver · ★4.75 · 1 bedroom · 1 bed · 1 bath,"Everything you need is nearby. <br /><br />Highlight: Walking distance to grocery market, pool, gym, library, parks and restaurants.<br /><br />May-September: Playland Amusement Park<br />End of August/Early September: The Fair at the PNE.<br />October: FRIGHT NIGHTS at Playland, which is in the style of a Universal Studios Halloween attraction in October with Hollywood quality entertainment (we are “Hollywood North”).<br /><br />We have restaurants: traditional, modern, creative, unique, fun.<br />There are bars and pubs, grocery markets, breweries, banks, money mart, pharmacies, thrift and vintage stores, salons, parks, gardens, small lake, community centres, schools, bus stops, car share, *all within walking distance.*",57488206,Jessi,,,,f,3,3,"Vancouver, British Columbia, Canada",Hastings-Sunrise,49.28357,-123.05649,Entire home,Entire home/apt,2,,,1.0,[],,3,30,2.7,30.0,0,0,0,0,60,0,4.75,4.8,4.82,4.9,4.87,4.69,4.81,f,3,0.77,2108
6416,1015650685503221866,Guest suite in Vancouver · ★New · 2 bedrooms · 2 beds · 1 bath,,139792573,Daniel,within a few hours,100%,100%,f,1,4,,Sunset,49.22112,-123.09232,Entire guest suite,Entire home/apt,5,,,2.0,[],$132.00,1,365,1.0,365.0,27,57,86,86,0,0,,,,,,,,f,1,,2730
1820,35265562,Guest suite in Vancouver · ★4.85 · 2 bedrooms · 3 beds · 1 bath,"Beautiful neighbourhood close to prosperous Main Street area with the following near by: <br /> - Many restaurants, coffee shops, grocery stores, bank, pharmacy, shops, liquor store, and travel agency <br /> <br />- Downtown only 10 minutes away with the Bus <br />- Cruise Terminal 6.4 km (4 mile) by car<br /><br />- Queen Elizabeth Park (2 km away)<br />      - Public Tennis Courts<br />      - Pitch and Putt Golf Course<br />      - Bloedel Conservatory<br /><br />- Hill Crest Community Center (1.5 km away)<br />      - Public Swimming Pool<br />      - Public Ice Rink<br />      - Public Gym & Fitness<br />      - Nat Bailey Stadium<br /> <br />- Granville Island (4 km away)<br />- Science World (2 km away)<br />- Vandusen Botanical Garden (3km away)<br />- Oakridge Shopping Center (4km away)<br /><br />- Vancouver International Airport 11km / 15 minutes by car/taxi<br /><br />Main Street （名街）曾经是古董一条街。随着城市的发展，现今已成为美食一条街。各式美食应有尽有：<br /><br />中餐： <br />             新瑞华海鲜餐馆  （23 街）<br ",265504225,Alex,within an hour,100%,98%,t,1,1,"Vancouver, British Columbia, Canada",Riley Park,49.25214,-123.09817,Entire guest suite,Entire home/apt,6,,,3.0,[],$119.00,1,30,1.0,30.0,0,0,0,9,176,55,4.85,4.9,4.78,4.97,4.94,4.9,4.75,f,1,3.22,2254
5346,911948980885194155,Home in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,"We are located in a quiet residential neighborhood conveniently situated with easy access to a park (6 min walk or 450 m), a community centre (3 min walk or 270 m), and an ice rink (5 min walk or 350 m).  A nice coffee shop is only 15 mins leisurely walk away!",22595056,Raymond,,,92%,t,1,1,"Vancouver, British Columbia, Canada",Sunset,49.22170899446256,-123.09776247840225,Entire home,Entire home/apt,2,,,1.0,[],$263.00,2,7,2.0,7.0,30,60,90,179,7,7,5.0,5.0,5.0,5.0,5.0,4.86,5.0,f,1,1.28,3187
2484,46069251,Guest suite in Vancouver · ★4.93 · 1 bedroom · 2 beds · 1 bath,"Kitsilano at it's best! Short walk to all the local eateries and shops located on West 4th and Broadway area. Located minutes away to Broadway and 16th Ave for transit, restaurants and grocery stores. Sunday Farmer's Market during the summer across the street at Connaught Park, runs from May through mid-October",65683877,Yendi,within an hour,100%,95%,t,2,3,"Vancouver, British Columbia, Canada",Kitsilano,49.25898,-123.16179,Entire guest suite,Entire home/apt,4,,,2.0,[],$112.00,2,180,2.4,1125.0,15,32,45,104,73,31,4.93,4.93,4.89,4.97,4.97,4.96,4.85,f,1,2.01,3479
2345,43215530,Condo in Vancouver · ★4.88 · Studio · 1 bed · 1 bath,"Other attractions include: Trendy Yaletown Shops, Granville Street Pubs and Clubs, Vancouver Public Library, Granville Island, and down the street from the Vancouver 2010 Winter Olympic Games BC Place Olympic Stadium",80571916,Alya,within an hour,100%,92%,t,4,6,"Vancouver, British Columbia, Canada",Downtown,49.27495,-123.11642,Entire condo,Entire home/apt,2,,,1.0,[],$129.00,90,90,90.0,1125.0,0,10,40,213,8,2,4.88,4.63,4.63,5.0,5.0,5.0,4.63,f,3,0.28,0
799,18638835,Condo in Vancouver · ★4.76 · 2 bedrooms · 2 beds · 1 bath,"The Gastown/Chinatown (aka Crosstown) neighbourhood captures an emerging migration of the downtown Vancouver core. It's at the intersection between bustling downtown and the increasingly gentrified downtown East Side. This means that the newest restaurants, businesses, grocery stores and innovative ventures are all in this neighbourhood.  You will definitely get a taste of true downtown Vancouver life here.",9219014,Sarah,,,,f,1,2,"Vancouver, British Columbia, Canada",Downtown,49.27878,-123.10797,Entire condo,Entire home/apt,4,,,2.0,[],,1,2,1.0,2.0,0,0,0,0,54,0,4.76,4.89,4.78,4.78,4.85,4.84,4.71,f,1,0.67,2472
354,7112627,Condo in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 2 baths,"This area by the water, has won International awards for its concept and beauty . Built in an old industrial site, the visionaries urban planners of the 70's created a very special community. Many co-ops, stratas, a live in Marina around the corner, floating homes, and much more, make this area a very special one.  People are very friendly and there is a spirit of community. <br />False Creek with Granville island market is one of Vancouver's most popular attractions,  and you will be living in it!",25470676,Patricia,within a day,100%,69%,f,2,2,"Vancouver, British Columbia, Canada",Fairview,49.26746,-123.12785,Entire condo,Entire home/apt,4,,,2.0,[],$283.00,7,1125,7.0,1125.0,10,36,49,154,10,1,5.0,5.0,5.0,5.0,4.9,5.0,4.8,f,2,0.13,2848
6523,1024150271366127623,Rental unit in Vancouver · ★New · Studio · 1 bed · 1 bath,"Kitsilano is a lively, trendy area with an abundance of delicious restaurants, coffee shops, & clothing shops.<br />The apartment is well connected via public transportation and public bikes.<br />15 minute walk from Kits Beach + recreation area.<br />Walking distance from the Arbutus Greenway and Seawall for a scenic walk, bike ride, or run. <br />15 minute walk from Granville Island Market",114256233,Natasha,within an hour,100%,100%,f,1,1,"Vancouver, British Columbia, Canada",Fairview,49.26562738684529,-123.14510421630844,Entire rental unit,Entire home/apt,2,,,1.0,[],,1,1125,1.0,1125.0,21,49,79,276,0,0,,,,,,,,f,1,,312
1073,22925127,Townhouse in Vancouver · ★4.94 · 2 bedrooms · 2 beds · 1 bath,We live in a beautiful quiet neighbourhood in one of the nicest areas of the city.  We are conveniently located near many restaurants and tourist destinations.  Because this is a quiet neighbourhood we do expect our guests to come and go to the suite quietly.,156345633,Jane,within an hour,100%,99%,f,1,2,"Vancouver, British Columbia, Canada",Kitsilano,49.27401,-123.14656,Entire townhouse,Entire home/apt,4,,,2.0,[],$175.00,3,10,3.0,1125.0,7,11,32,138,281,51,4.94,4.95,4.97,4.95,4.98,4.97,4.85,f,1,3.99,2924
